序号,公司,Ticker,指数归属,GICS行业,GICS子行业,ICB行业,ICB子行业,CIK,研究目录,状态
90,Hormel Foods,HRL,S&P 500,Consumer Staples,Packaged Foods & Meats,,,0000048465,Hormel_Foods_HRL,已完成
91,J.M. Smucker Company (The),SJM,S&P 500,Consumer Staples,Packaged Foods & Meats,,,0000091419,J_M_Smucker_Company_The_SJM,已完成
92,Kenvue,KVUE,S&P 500,Consumer Staples,Personal Care Products,,,0001944048,Kenvue_KVUE,已完成
93,Keurig Dr Pepper,KDP,"Nasdaq-100, S&P 500",Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,Soft Drinks,0001418135,Keurig_Dr_Pepper_KDP,已完成
94,Kimberly-Clark,KMB,S&P 500,Consumer Staples,Household Products,,,0000055785,Kimberly_Clark_KMB,已完成
95,Kraft Heinz,KHC,"Nasdaq-100, S&P 500",Consumer Staples,Packaged Foods & Meats,Consumer Staples,Packaged Foods,0001637459,Kraft_Heinz_KHC,已完成
96,Kroger,KR,S&P 500,Consumer Staples,Food Retail,,,0000056873,Kroger_KR,已完成
97,McCormick & Company,MKC,S&P 500,Consumer Staples,Packaged Foods & Meats,,,0000063754,McCormick_Company_MKC,已完成
98,Molson Coors Beverage Company,TAP,S&P 500,Consumer Staples,Brewers,,,0000024545,Molson_Coors_Beverage_Company_TAP,已完成
99,Mondelez International,MDLZ,"Nasdaq-100, S&P 500",Consumer Staples,Packaged Foods & Meats,Consumer Staples,Packaged Foods,0001103982,Mondelez_International_MDLZ,已完成
100,Monster Beverage,MNST,"Nasdaq-100, S&P 500",Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,Soft Drinks,0000865752,Monster_Beverage_MNST,已完成
101,PepsiCo,PEP,"Nasdaq-100, S&P 500",Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,Soft Drinks,0000077476,PepsiCo_PEP,已完成
102,Philip Morris International,PM,S&P 500,Consumer Staples,Tobacco,,,0001413329,Philip_Morris_International_PM,已完成
103,Procter & Gamble,PG,S&P 500,Consumer Staples,Personal Care Products,,,0000080424,Procter_Gamble_PG,已完成
104,Sysco,SYY,S&P 500,Consumer Staples,Food Distributors,,,0000096021,Sysco_SYY,已完成
105,Target Corporation,TGT,S&P 500,Consumer Staples,Consumer Staples Merchandise Retail,,,0000027419,Target_Corporation_TGT,已完成
106,Tyson Foods,TSN,S&P 500,Consumer Staples,Packaged Foods & Meats,,,0000100493,Tyson_Foods_TSN,已完成
107,Walmart,WMT,"Nasdaq-100, S&P 500",Consumer Staples,Consumer Staples Merchandise Retail,Consumer Discretionary,Department/Specialty Retail Stores,0000104169,Walmart_WMT,已完成
108,APA Corporation,APA,S&P 500,Energy,Oil & Gas Exploration & Production,,,0001841666,APA_Corporation_APA,已完成
109,Baker Hughes,BKR,"Nasdaq-100, S&P 500",Energy,Oil & Gas Equipment & Services,Energy,Oil Equipment & Services,0001701605,Baker_Hughes_BKR,已完成
110,Chevron Corporation,CVX,S&P 500,Energy,Integrated Oil & Gas,,,0000093410,Chevron_Corporation_CVX,已完成
111,ConocoPhillips,COP,S&P 500,Energy,Oil & Gas Exploration & Production,,,0001163165,ConocoPhillips_COP,已完成
112,Devon Energy,DVN,S&P 500,Energy,Oil & Gas Exploration & Production,,,0001090012,Devon_Energy_DVN,已完成
113,Diamondback Energy,FANG,"Nasdaq-100, S&P 500",Energy,Oil & Gas Exploration & Production,Energy,Oil & Gas Production,0001539838,Diamondback_Energy_FANG,已完成
114,EOG Resources,EOG,S&P 500,Energy,Oil & Gas Exploration & Production,,,0000821189,EOG_Resources_EOG,已完成
115,EQT Corporation,EQT,S&P 500,Energy,Oil & Gas Exploration & Production,,,0000033213,EQT_Corporation_EQT,已完成
116,Expand Energy,EXE,S&P 500,Energy,Oil & Gas Exploration & Production,,,0000895126,Expand_Energy_EXE,已完成
117,ExxonMobil,XOM,S&P 500,Energy,Integrated Oil & Gas,,,0000034088,ExxonMobil_XOM,已完成
118,Halliburton,HAL,S&P 500,Energy,Oil & Gas Equipment & Services,,,0000045012,Halliburton_HAL,已完成
119,Kinder Morgan,KMI,S&P 500,Energy,Oil & Gas Storage & Transportation,,,0001506307,Kinder_Morgan_KMI,已完成
120,Marathon Petroleum,MPC,S&P 500,Energy,Oil & Gas Refining & Marketing,,,0001510295,Marathon_Petroleum_MPC,已完成
121,Occidental Petroleum,OXY,S&P 500,Energy,Oil & Gas Exploration & Production,,,0000797468,Occidental_Petroleum_OXY,已完成
122,Oneok,OKE,S&P 500,Energy,Oil & Gas Storage & Transportation,,,0001039684,Oneok_OKE,已完成
123,Phillips 66,PSX,S&P 500,Energy,Oil & Gas Refining & Marketing,,,0001534701,Phillips_66_PSX,已完成
124,Schlumberger,SLB,S&P 500,Energy,Oil & Gas Equipment & Services,,,0000087347,Schlumberger_SLB,已完成
125,Targa Resources,TRGP,S&P 500,Energy,Oil & Gas Storage & Transportation,,,0001389170,Targa_Resources_TRGP,已完成
126,Texas Pacific Land Corporation,TPL,S&P 500,Energy,Oil & Gas Exploration & Production,,,0001811074,Texas_Pacific_Land_Corporation_TPL,已完成
127,Valero Energy,VLO,S&P 500,Energy,Oil & Gas Refining & Marketing,,,0001035002,Valero_Energy_VLO,已完成
128,Williams Companies,WMB,S&P 500,Energy,Oil & Gas Storage & Transportation,,,0000107263,Williams_Companies_WMB,已完成
129,Aflac,AFL,S&P 500,Financials,Life & Health Insurance,,,0000004977,Aflac_AFL,已完成
130,Allstate,ALL,S&P 500,Financials,Property & Casualty Insurance,,,0000899051,Allstate_ALL,已完成
131,American Express,AXP,S&P 500,Financials,Consumer Finance,,,0000004962,American_Express_AXP,已完成
132,American International Group,AIG,S&P 500,Financials,Multi-line Insurance,,,0000005272,American_International_Group_AIG,已完成
133,Ameriprise Financial,AMP,S&P 500,Financials,Asset Management & Custody Banks,,,0000820027,Ameriprise_Financial_AMP,已完成
134,Aon plc,AON,S&P 500,Financials,Insurance Brokers,,,0000315293,Aon_plc_AON,已完成
135,Apollo Global Management,APO,S&P 500,Financials,Asset Management & Custody Banks,,,0001858681,Apollo_Global_Management_APO,已完成
136,Arch Capital Group,ACGL,S&P 500,Financials,Property & Casualty Insurance,,,0000947484,Arch_Capital_Group_ACGL,已完成
137,Ares Management,ARES,S&P 500,Financials,Asset Management & Custody Banks,,,0001176948,Ares_Management_ARES,已完成
138,Arthur J. Gallagher & Co.,AJG,S&P 500,Financials,Insurance Brokers,,,0000354190,Arthur_J_Gallagher_Co_AJG,已完成
139,Assurant,AIZ,S&P 500,Financials,Multi-line Insurance,,,0001267238,Assurant_AIZ,已完成
140,BNY Mellon,BNY,S&P 500,Financials,Asset Management & Custody Banks,,,0001390777,BNY_Mellon_BNY,已完成
141,Bank of America,BAC,S&P 500,Financials,Diversified Banks,,,0000070858,Bank_of_America_BAC,已完成
142,Berkshire Hathaway,BRK-B,S&P 500,Financials,Multi-Sector Holdings,,,0001067983,Berkshire_Hathaway_BRK-B,已完成
143,BlackRock,BLK,S&P 500,Financials,Asset Management & Custody Banks,,,0002012383,BlackRock_BLK,已完成
144,Blackstone Inc.,BX,S&P 500,Financials,Asset Management & Custody Banks,,,0001393818,Blackstone_Inc_BX,已完成
145,"Block, Inc.",XYZ,S&P 500,Financials,Transaction & Payment Processing Services,,,0001512673,Block_Inc_XYZ,已完成
146,Brown & Brown,BRO,S&P 500,Financials,Insurance Brokers,,,0000079282,Brown_Brown_BRO,已完成
147,CME Group,CME,S&P 500,Financials,Financial Exchanges & Data,,,0001156375,CME_Group_CME,已完成
148,Capital One,COF,S&P 500,Financials,Consumer Finance,,,0000927628,Capital_One_COF,已完成
149,Cboe Global Markets,CBOE,S&P 500,Financials,Financial Exchanges & Data,,,0001374310,Cboe_Global_Markets_CBOE,已完成
150,Charles Schwab Corporation,SCHW,S&P 500,Financials,Investment Banking & Brokerage,,,0000316709,Charles_Schwab_Corporation_SCHW,已完成
151,Chubb Limited,CB,S&P 500,Financials,Property & Casualty Insurance,,,0000896159,Chubb_Limited_CB,已完成
152,Cincinnati Financial,CINF,S&P 500,Financials,Property & Casualty Insurance,,,0000020286,Cincinnati_Financial_CINF,已完成
153,Citigroup,C,S&P 500,Financials,Diversified Banks,,,0000831001,Citigroup_C,已完成
154,Citizens Financial Group,CFG,S&P 500,Financials,Regional Banks,,,0000759944,Citizens_Financial_Group_CFG,已完成
155,Coinbase,COIN,S&P 500,Financials,Financial Exchanges & Data,,,0001679788,Coinbase_COIN,已完成
156,Corpay,CPAY,S&P 500,Financials,Transaction & Payment Processing Services,,,0001175454,Corpay_CPAY,已完成
157,Erie Indemnity,ERIE,S&P 500,Financials,Insurance Brokers,,,0000922621,Erie_Indemnity_ERIE,已完成
158,Everest Group,EG,S&P 500,Financials,Reinsurance,,,0001095073,Everest_Group_EG,已完成
159,FactSet,FDS,S&P 500,Financials,Financial Exchanges & Data,,,0001013237,FactSet_FDS,已完成
160,Fidelity National Information Services,FIS,S&P 500,Financials,Transaction & Payment Processing Services,,,0001136893,Fidelity_National_Information_Services_FIS,已完成
161,Fifth Third Bancorp,FITB,S&P 500,Financials,Regional Banks,,,0000035527,Fifth_Third_Bancorp_FITB,已完成
162,Fiserv,FISV,S&P 500,Financials,Transaction & Payment Processing Services,,,0000798354,Fiserv_FISV,已完成
163,Franklin Resources,BEN,S&P 500,Financials,Asset Management & Custody Banks,,,0000038777,Franklin_Resources_BEN,已完成
164,Global Payments,GPN,S&P 500,Financials,Transaction & Payment Processing Services,,,0001123360,Global_Payments_GPN,已完成
165,Globe Life,GL,S&P 500,Financials,Life & Health Insurance,,,0000320335,Globe_Life_GL,已完成
166,Goldman Sachs,GS,S&P 500,Financials,Investment Banking & Brokerage,,,0000886982,Goldman_Sachs_GS,已完成
167,Hartford (The),HIG,S&P 500,Financials,Property & Casualty Insurance,,,0000874766,Hartford_The_HIG,已完成
168,Huntington Bancshares,HBAN,S&P 500,Financials,Regional Banks,,,0000049196,Huntington_Bancshares_HBAN,已完成
169,Interactive Brokers,IBKR,S&P 500,Financials,Investment Banking & Brokerage,,,0001381197,Interactive_Brokers_IBKR,已完成
170,Intercontinental Exchange,ICE,S&P 500,Financials,Financial Exchanges & Data,,,0001571949,Intercontinental_Exchange_ICE,已完成
171,Invesco,IVZ,S&P 500,Financials,Asset Management & Custody Banks,,,0000914208,Invesco_IVZ,已完成
172,JPMorgan Chase,JPM,S&P 500,Financials,Diversified Banks,,,0000019617,JPMorgan_Chase_JPM,已完成
173,Jack Henry & Associates,JKHY,S&P 500,Financials,Transaction & Payment Processing Services,,,0000779152,Jack_Henry_Associates_JKHY,已完成
174,KKR & Co.,KKR,S&P 500,Financials,Asset Management & Custody Banks,,,0001404912,KKR_Co_KKR,已完成
175,KeyCorp,KEY,S&P 500,Financials,Regional Banks,,,0000091576,KeyCorp_KEY,已完成
176,Loews Corporation,L,S&P 500,Financials,Multi-line Insurance,,,0000060086,Loews_Corporation_L,已完成
177,M&T Bank,MTB,S&P 500,Financials,Regional Banks,,,0000036270,M_T_Bank_MTB,已完成
178,MSCI Inc.,MSCI,S&P 500,Financials,Financial Exchanges & Data,,,0001408198,MSCI_Inc_MSCI,已完成
179,Marsh McLennan,MRSH,S&P 500,Financials,Insurance Brokers,,,0000062709,Marsh_McLennan_MRSH,已完成
180,Mastercard,MA,S&P 500,Financials,Transaction & Payment Processing Services,,,0001141391,Mastercard_MA,已完成
181,MetLife,MET,S&P 500,Financials,Life & Health Insurance,,,0001099219,MetLife_MET,已完成
182,Moody's Corporation,MCO,S&P 500,Financials,Financial Exchanges & Data,,,0001059556,Moody_s_Corporation_MCO,已完成
183,Morgan Stanley,MS,S&P 500,Financials,Investment Banking & Brokerage,,,0000895421,Morgan_Stanley_MS,已完成
184,"Nasdaq, Inc.",NDAQ,S&P 500,Financials,Financial Exchanges & Data,,,0001120193,Nasdaq_Inc_NDAQ,已完成
185,Northern Trust,NTRS,S&P 500,Financials,Asset Management & Custody Banks,,,0000073124,Northern_Trust_NTRS,已完成
186,PNC Financial Services,PNC,S&P 500,Financials,Diversified Banks,,,0000713676,PNC_Financial_Services_PNC,已完成
187,PayPal,PYPL,"Nasdaq-100, S&P 500",Financials,Transaction & Payment Processing Services,Industrials,Diversified Commercial Services,0001633917,PayPal_PYPL,已完成
188,Principal Financial Group,PFG,S&P 500,Financials,Life & Health Insurance,,,0001126328,Principal_Financial_Group_PFG,已完成
189,Progressive Corporation,PGR,S&P 500,Financials,Property & Casualty Insurance,,,0000080661,Progressive_Corporation_PGR,已完成
190,Prudential Financial,PRU,S&P 500,Financials,Life & Health Insurance,,,0001137774,Prudential_Financial_PRU,已完成
191,Raymond James Financial,RJF,S&P 500,Financials,Investment Banking & Brokerage,,,0000720005,Raymond_James_Financial_RJF,已完成
192,Regions Financial Corporation,RF,S&P 500,Financials,Regional Banks,,,0001281761,Regions_Financial_Corporation_RF,已完成
193,Robinhood Markets,HOOD,S&P 500,Financials,Investment Banking & Brokerage,,,0001783879,Robinhood_Markets_HOOD,已完成
194,S&P Global,SPGI,S&P 500,Financials,Financial Exchanges & Data,,,0000064040,S_P_Global_SPGI,已完成
195,State Street Corporation,STT,S&P 500,Financials,Asset Management & Custody Banks,,,0000093751,State_Street_Corporation_STT,已完成
196,Synchrony Financial,SYF,S&P 500,Financials,Consumer Finance,,,0001601712,Synchrony_Financial_SYF,已完成
197,T. Rowe Price,TROW,S&P 500,Financials,Asset Management & Custody Banks,,,0001113169,T_Rowe_Price_TROW,已完成
198,Travelers Companies (The),TRV,S&P 500,Financials,Property & Casualty Insurance,,,0000086312,Travelers_Companies_The_TRV,已完成
199,Truist Financial,TFC,S&P 500,Financials,Diversified Banks,,,0000092230,Truist_Financial_TFC,已完成
200,U.S. Bancorp,USB,S&P 500,Financials,Diversified Banks,,,0000036104,U_S_Bancorp_USB,已完成
201,Visa Inc.,V,S&P 500,Financials,Transaction & Payment Processing Services,,,0001403161,Visa_Inc_V,已完成
202,W. R. Berkley Corporation,WRB,S&P 500,Financials,Property & Casualty Insurance,,,0000011544,W_R_Berkley_Corporation_WRB,已完成
203,Wells Fargo,WFC,S&P 500,Financials,Diversified Banks,,,0000072971,Wells_Fargo_WFC,已完成
204,Willis Towers Watson,WTW,S&P 500,Financials,Insurance Brokers,,,0001140536,Willis_Towers_Watson_WTW,已完成
205,AbbVie,ABBV,S&P 500,Health Care,Biotechnology,,,0001551152,AbbVie_ABBV,已完成
206,Abbott Laboratories,ABT,S&P 500,Health Care,Health Care Equipment,,,0000001800,Abbott_Laboratories_ABT,已完成
207,Agilent Technologies,A,S&P 500,Health Care,Life Sciences Tools & Services,,,0001090872,Agilent_Technologies_A,已完成
208,Align Technology,ALGN,S&P 500,Health Care,Health Care Supplies,,,0001097149,Align_Technology_ALGN,已完成
209,Alnylam Pharmaceuticals,ALNY,Nasdaq-100,,,Health Care,Biotechnology,,Alnylam_Pharmaceuticals_ALNY,已完成
210,Amgen,AMGN,"Nasdaq-100, S&P 500",Health Care,Biotechnology,Health Care,Biotechnology,0000318154,Amgen_AMGN,已完成
211,Baxter International,BAX,S&P 500,Health Care,Health Care Equipment,,,0000010456,Baxter_International_BAX,已完成
212,Becton Dickinson,BDX,S&P 500,Health Care,Health Care Equipment,,,0000010795,Becton_Dickinson_BDX,已完成
